ea_type,timestamp,session,symbol,source_file,action,trade_type,strategy,score,atr,price,sl,tp,reason,result,trade_id,profit,risk,r_multiple,raw
M5,2026.03.17 05:10:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,3.72,5034.5,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,ED	0	20:41:24.778	Core 1	2026.03.17 05:10:00   [GoldEA] [RANGE(CT)] SELL check: price=5034.50 atr=3.72 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:15:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,4.1,5040.6,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,KJ	0	20:41:24.778	Core 1	2026.03.17 05:15:00   [GoldEA] [RANGE] BUY check: price=5040.60 atr=4.10 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:15:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,4.1,5040.6,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,EQ	0	20:41:24.778	Core 1	2026.03.17 05:15:00   [GoldEA] [RANGE(CT)] SELL check: price=5040.60 atr=4.10 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:20:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,4.43,5037.82,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,IO	0	20:41:24.778	Core 1	2026.03.17 05:20:00   [GoldEA] [RANGE] BUY check: price=5037.82 atr=4.43 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:20:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,4.43,5037.82,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,OR	0	20:41:24.778	Core 1	2026.03.17 05:20:00   [GoldEA] [RANGE(CT)] SELL check: price=5037.82 atr=4.43 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:25:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,4.41,5036.6,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,MP	0	20:41:24.778	Core 1	2026.03.17 05:25:00   [GoldEA] [RANGE] BUY check: price=5036.60 atr=4.41 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:25:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,4.41,5036.6,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,KO	0	20:41:24.778	Core 1	2026.03.17 05:25:00   [GoldEA] [RANGE(CT)] SELL check: price=5036.60 atr=4.41 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:30:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,4.45,5035.48,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,DE	0	20:41:24.778	Core 1	2026.03.17 05:30:00   [GoldEA] [RANGE] BUY check: price=5035.48 atr=4.45 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:30:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,4.45,5035.48,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,FH	0	20:41:24.778	Core 1	2026.03.17 05:30:00   [GoldEA] [RANGE(CT)] SELL check: price=5035.48 atr=4.45 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:35:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,4.52,5035.81,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,LF	0	20:41:24.778	Core 1	2026.03.17 05:35:00   [GoldEA] [RANGE] BUY check: price=5035.81 atr=4.52 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:35:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,4.52,5035.81,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,FE	0	20:41:24.778	Core 1	2026.03.17 05:35:00   [GoldEA] [RANGE(CT)] SELL check: price=5035.81 atr=4.52 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:40:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,4.28,5034.54,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,PK	0	20:41:24.778	Core 1	2026.03.17 05:40:00   [GoldEA] [RANGE] BUY check: price=5034.54 atr=4.28 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:40:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,4.28,5034.54,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,JF	0	20:41:24.778	Core 1	2026.03.17 05:40:00   [GoldEA] [RANGE(CT)] SELL check: price=5034.54 atr=4.28 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:45:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,4.33,5032.45,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,EL	0	20:41:24.778	Core 1	2026.03.17 05:45:00   [GoldEA] [RANGE] BUY check: price=5032.45 atr=4.33 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:45:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,4.33,5032.45,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,CR	0	20:41:24.778	Core 1	2026.03.17 05:45:00   [GoldEA] [RANGE(CT)] SELL check: price=5032.45 atr=4.33 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:50:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,4.66,5030.44,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,JQ	0	20:41:24.778	Core 1	2026.03.17 05:50:00   [GoldEA] [RANGE] BUY check: price=5030.44 atr=4.66 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:50:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,4.66,5030.44,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,HO	0	20:41:24.778	Core 1	2026.03.17 05:50:00   [GoldEA] [RANGE(CT)] SELL check: price=5030.44 atr=4.66 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:55:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,56.0,4.65,5026.59,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,JF	0	20:41:24.778	Core 1	2026.03.17 05:55:00   [GoldEA] [RANGE] BUY check: price=5026.59 atr=4.65 score=56 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:55:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,4.65,5026.59,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,OH	0	20:41:24.778	Core 1	2026.03.17 05:55:00   [GoldEA] [RANGE(CT)] SELL check: price=5026.59 atr=4.65 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 06:00:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE(CT),56.0,4.91,5021.04,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,ED	0	20:41:24.778	Core 1	2026.03.17 06:00:00   [GoldEA] [RANGE(CT)] BUY check: price=5021.04 atr=4.91 score=56 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 06:00:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE,0.0,4.91,5021.04,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,LE	0	20:41:24.778	Core 1	2026.03.17 06:00:00   [GoldEA] [RANGE] SELL check: price=5021.04 atr=4.91 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 06:05:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE(CT),100.0,5.53,5018.44,,,MIN_ATR_REJECT,SKIPPED,,,,,LF	0	20:41:24.778	Core 1	2026.03.17 06:05:00   [GoldEA] [RANGE(CT)] BUY check: price=5018.44 atr=5.53 score=100 reason=MIN_ATR_REJECT
M5,2026.03.17 06:05:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE,0.0,5.53,5018.44,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,LG	0	20:41:24.778	Core 1	2026.03.17 06:05:00   [GoldEA] [RANGE] SELL check: price=5018.44 atr=5.53 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 06:10:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE(CT),100.0,6.22,5008.51,,,MIN_ATR_REJECT,SKIPPED,,,,,LP	0	20:41:24.778	Core 1	2026.03.17 06:10:00   [GoldEA] [RANGE(CT)] BUY check: price=5008.51 atr=6.22 score=100 reason=MIN_ATR_REJECT
M5,2026.03.17 06:10:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE,0.0,6.22,5008.51,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,DQ	0	20:41:24.778	Core 1	2026.03.17 06:10:00   [GoldEA] [RANGE] SELL check: price=5008.51 atr=6.22 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 06:15:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE(CT),100.0,6.39,5012.72,,,MIN_ATR_REJECT,SKIPPED,,,,,CS	0	20:41:24.778	Core 1	2026.03.17 06:15:00   [GoldEA] [RANGE(CT)] BUY check: price=5012.72 atr=6.39 score=100 reason=MIN_ATR_REJECT
